,coef,std err,t,P>|t|,[0.025,0.975]
const,-44.3788,18.56,-2.391,0.017,-80.784,-7.973
IMDBRating,24.8913,2.704,9.205,0.0,19.587,30.196
const,55.7983,9.171,6.084,0.0,37.809,73.788
Metascore,1.1599,0.148,7.83,0.0,0.869,1.45
