Title,ReleaseYear,Certificate,Runtime,Genres,Description,IMDBRating,Metascore,Votes,GrossRevenue,Action,Adventure,Animation,Biography,Comedy,Crime,Drama,Family,Fantasy,History,Horror,Music,Musical,Mystery,Romance,Sci-Fi,Sport,Thriller,War,Western
Doctor Dolittle,1998,PG-13,85,"Comedy, Family, Fantasy",A doctor discovers that he can communicate with animals.,5.4,46,96168,144.16,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
Mamma Mia!,2008,PG-13,108,"Comedy, Musical, Romance",The story of a bride-to-be trying to find her real father told using hit songs by the popular 1970s group ABBA.,6.5,51,235730,144.13,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0
Pokémon Detective Pikachu,2019,PG,104,"Action, Adventure, Comedy","In a world where people collect Pokémon to do battle, a boy comes across an intelligent talking Pikachu who seeks to be a detective.",6.6,53,155549,144.11,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Rio,2011,G,96,"Animation, Adventure, Comedy","When Blu, a domesticated macaw from small-town Minnesota, meets the fiercely independent Jewel, he takes off on an adventure to Rio de Janeiro with the bird of his dreams.",6.9,63,221509,143.62,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kung Fu Panda 3,2016,PG,95,"Animation, Action, Adventure","Continuing his ""legendary adventures of awesomeness"", Po must face two hugely epic, but different threats: one supernatural and the other a little closer to home.",7.1,66,150902,143.53,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Juno,2007,PG-13,96,"Comedy, Drama","Faced with an unplanned pregnancy, an offbeat young woman makes an unusual decision regarding the unborn child.",7.5,81,511725,143.5,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Marley & Me,2008,PG,115,"Comedy, Drama, Family","A family learns important life lessons from their adorable, but naughty and neurotic dog.",7.1,53,155474,143.15,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
The Meg,2018,PG-13,113,"Action, Horror, Sci-Fi",A group of scientists exploring the Marianas Trench encounter the largest marine predator that has ever existed - the Megalodon.,5.6,46,165800,143.01,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
The Smurfs,2011,PG,103,"Animation, Adventure, Comedy","When the evil wizard Gargamel chases the tiny blue Smurfs out of their village, they tumble from their magical world into New York City.",5.4,30,88805,142.61,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Once Upon a Time... In Hollywood,2019,R,161,"Comedy, Drama",A faded television actor and his stunt double strive to achieve fame and success in the final years of Hollywood's Golden Age in 1969 Los Angeles.,7.6,83,677104,142.5,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
xXx,2002,PG-13,124,"Action, Adventure, Thriller","An extreme sports athlete, Xander Cage, is recruited by the government on a special mission.",5.8,48,178363,142.11,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
The Jungle Book,1967,G,78,"Animation, Adventure, Comedy",Bagheera the Panther and Baloo the Bear have a difficult time trying to convince a boy to leave the jungle for human civilization.,7.6,65,177466,141.84,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
The Chronicles of Narnia: Prince Caspian,2008,PG,150,"Action, Adventure, Family","The Pevensie siblings return to Narnia, where they are enlisted to once again help ward off an evil king and restore the rightful heir to the land's throne, Prince Caspian.",6.5,62,206297,141.62,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Pocahontas,1995,G,81,"Animation, Adventure, Drama",An English soldier and the daughter of an Algonquin chief share a romance when English colonists invade seventeenth century Virginia.,6.7,58,182031,141.6,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
A Few Good Men,1992,R,138,"Drama, Thriller",Military lawyer Lieutenant Daniel Kaffee defends Marines accused of murder. They contend they were acting under orders.,7.7,62,254247,141.34,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
Slumdog Millionaire,2008,R,120,"Drama, Romance","A Mumbai teenager reflects on his life after being accused of cheating on the Indian version of ""Who Wants to be a Millionaire?"".",8.0,84,830298,141.32,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
Rush Hour,1998,PG-13,98,"Action, Comedy, Crime","A loyal and dedicated Hong Kong Inspector teams up with a reckless and loudmouthed L.A.P.D. detective to rescue the Chinese Consul's kidnapped daughter, while trying to arrest a dangerous crime lord along the way.",7.0,60,259190,141.15,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
The Blair Witch Project,1999,R,81,"Horror, Mystery","Three film students vanish after traveling into a Maryland forest to film a documentary on the local Blair Witch legend, leaving only their footage behind.",6.5,81,251179,140.54,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0
Deep Impact,1998,PG-13,120,"Action, Drama, Sci-Fi","A comet is discovered to be on a collision course with Earth. As doomsday nears, the human race prepares for the worst.",6.2,40,175256,140.46,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
Shazam!,2019,PG-13,132,"Action, Adventure, Comedy",A newly fostered young boy in search of his mother instead finds unexpected super powers and soon gains a powerful enemy.,7.0,71,313184,140.37,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ocean's Eight,2018,PG-13,110,"Action, Comedy, Crime",Debbie Ocean gathers an all-female crew to attempt an impossible heist at New York City's yearly Met Gala.,6.3,61,210078,140.22,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Rush Hour 3,2007,PG-13,91,"Action, Comedy, Crime","After an attempted assassination on Ambassador Han, Lee and Carter head to Paris to protect a French woman with knowledge of the Triads' secret leaders.",6.2,44,163768,140.13,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Look Who's Talking,1989,PG-13,93,Comedy,"After a single, career-minded woman is left on her own to give birth to the child of a married man, she finds a new romantic chance in a cab driver. Meanwhile, the point-of-view of the newborn boy is narrated through voice-over.",5.9,51,81653,140.09,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Stuart Little,1999,PG,84,"Adventure, Comedy, Family","The Little family adopt a charming young mouse named Stuart, but the family cat wants rid of him.",6.0,61,132210,140.04,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
The Rocky Horror Picture Show,1975,R,100,"Comedy, Horror, Musical",A newly-engaged couple have a breakdown in an isolated area and must seek shelter at the bizarre residence of Dr. Frank-n-Furter.,7.4,65,146789,139.88,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0
Taken 2,2012,PG-13,92,"Action, Crime, Thriller","In Istanbul, retired CIA operative Bryan Mills and his wife are taken hostage by the father of a kidnapper Mills killed while rescuing his daughter.",6.2,45,302386,139.85,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Sister Act,1992,PG,100,"Comedy, Family, Music","When a nightclub singer is forced to take refuge from the mob in a convent, she ends up turning the convent choir into a soulful chorus complete with a Motown repertoire, until the sudden celebrity of the choir jeopardizes her identity.",6.5,51,96482,139.61,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
The Matrix Revolutions,2003,R,129,"Action, Sci-Fi",The human city of Zion defends itself against the massive invasion of the machines as Neo fights to end the war at another front while also opposing the rogue Agent Smith.,6.7,47,502064,139.31,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
The Santa Clause 2,2002,G,104,"Comedy, Family, Fantasy","Scott Calvin has been a humble Santa Claus for nearly ten years, but it might come to an end if he doesn't find a Mrs. Claus.",5.7,48,56309,139.24,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
The King's Speech,2010,R,118,"Biography, Drama, History","The story of King George VI, his impromptu ascension to the throne of the British Empire in 1936, and the speech therapist who helped the unsure monarch overcome his stammer.",8.0,88,668040,138.8,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
Bad Boys II,2003,R,147,"Action, Comedy, Crime",Two loose-cannon narcotics cops investigate the flow of Ecstasy into Florida from a Cuban drug cartel.,6.6,38,245390,138.61,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cheaper by the Dozen,2003,PG,98,"Comedy, Family","With his wife doing a book tour, a father of twelve must handle a new job and his unstable brood.",5.9,46,100212,138.61,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Platoon,1986,R,120,"Drama, War","Chris Taylor, a neophyte recruit in Vietnam, finds himself caught in a battle of wills between two sergeants, one good and the other evil. A shrewd examination of the brutality of war and the duality of man in conflict.",8.1,92,404180,138.53,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
21 Jump Street,2012,R,109,"Action, Comedy, Crime",A pair of underachieving cops are sent back to a local high school to blend in and bring down a synthetic drug ring.,7.2,69,543061,138.45,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Good Will Hunting,1997,R,126,"Drama, Romance","Will Hunting, a janitor at M.I.T., has a gift for mathematics, but needs help from a psychologist to find direction in his life.",8.3,70,930037,138.43,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
Split,2016,PG-13,117,"Horror, Thriller",Three girls are kidnapped by a man with a diagnosed 23 distinct personalities. They must try to escape before the apparent emergence of a frightful new 24th.,7.3,62,471217,138.29,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
A Christmas Carol,2009,PG,96,"Animation, Adventure, Comedy","An animated retelling of Charles Dickens' classic novel about a Victorian-era miser taken on a journey of self-redemption, courtesy of several mysterious Christmas apparitions.",6.8,55,112605,137.86,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dinosaur,2000,PG,82,"Animation, Adventure, Drama",An orphaned dinosaur raised by lemurs joins an arduous trek to a sanctuary after a meteorite shower destroys his family home.,6.4,56,58982,137.75,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Ready Player One,2018,PG-13,140,"Action, Adventure, Sci-Fi","When the creator of a virtual reality called the OASIS dies, he makes a posthumous challenge to all OASIS users to find his Easter Egg, which will give the finder his fortune and control of his world.",7.4,64,416816,137.69,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
The Conjuring,2013,R,112,"Horror, Mystery, Thriller",Paranormal investigators Ed and Lorraine Warren work to help a family terrorized by a dark presence in their farmhouse.,7.5,68,487888,137.4,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0
Click,2006,PG-13,107,"Comedy, Drama, Fantasy",A workaholic architect finds a universal remote that allows him to fast-forward and rewind to different parts of his life. Complications arise when the remote starts to overrule his choices.,6.4,45,323374,137.36,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
The Green Mile,1999,R,189,"Crime, Drama, Fantasy","The lives of guards on Death Row are affected by one of their charges: a black man accused of child murder and rape, yet who has a mysterious gift.",8.6,61,1246388,136.8,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0
Ransom,1996,R,121,"Action, Crime, Thriller","Multi-millionaire Tom Mullen's son is kidnapped, but after initially agreeing to pay the ransom Mullen then decides to use the ransom money as a bounty.",6.7,60,125888,136.49,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Godzilla,1998,PG-13,139,"Action, Sci-Fi, Thriller",French nuclear tests irradiate an iguana into a giant monster that heads off to New York City. The American military must chase the monster across the city to stop it before it reproduces.,5.4,32,191035,136.31,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
101 Dalmatians,1996,G,103,"Adventure, Comedy, Crime","An evil high-fashion designer plots to steal Dalmatian puppies in order to make an extravagant fur coat, but instead creates an extravagant mess.",5.7,49,109731,136.19,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Argo,2012,R,120,"Biography, Drama, Thriller","Acting under the cover of a Hollywood producer scouting a location for a science fiction film, a CIA agent launches a dangerous operation to rescue six Americans in Tehran during the U.S. hostage crisis in Iran in 1979.",7.7,86,602115,136.03,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
Anger Management,2003,PG-13,106,Comedy,"Dave Buznik is a businessman who is wrongly sentenced to an anger management program, where he meets an aggressive instructor.",6.2,52,212369,135.65,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Chicken Little,2005,G,81,"Animation, Adventure, Comedy","After ruining his reputation with the town, a courageous chicken must come to the rescue of his fellow citizens when aliens start an invasion.",5.7,48,90824,135.39,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Teenage Mutant Ninja Turtles,1990,PG,93,"Action, Adventure, Comedy",Four teenage mutant ninja turtles emerge from the shadows to protect New York City from a gang of criminal ninjas.,6.8,51,92102,135.27,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Patch Adams,1998,PG-13,115,"Biography, Comedy, Drama","The true story of a heroic man, Hunter ""Patch"" Adams, determined to become a medical doctor because he enjoys helping people. He ventured where no doctor had ventured before, using humour and pathos.",6.8,25,111804,135.03,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
The Godfather,1972,R,175,"Crime, Drama",The aging patriarch of an organized crime dynasty in postwar New York City transfers control of his clandestine empire to his reluctant youngest son.,9.2,100,1764201,134.97,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Ride Along,2014,PG-13,99,"Action, Comedy, Crime","Security guard Ben must prove himself to his girlfriend's brother, top police officer James. He rides along James on a 24-hour patrol of Atlanta.",6.1,41,111698,134.94,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Live Free or Die Hard,2007,PG-13,128,"Action, Thriller",John McClane and a young hacker join forces to take down master cyber-terrorist Thomas Gabriel in Washington D.C.,7.1,69,401630,134.53,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
The Incredible Hulk,2008,PG-13,112,"Action, Adventure, Sci-Fi","Bruce Banner, a scientist on the run from the U.S. Government, must find a cure for the monster he turns into whenever he loses his temper.",6.7,61,472732,134.52,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Identity Thief,2013,R,111,"Comedy, Crime, Drama",Mild mannered businessman Sandy Patterson travels from Denver to Florida to confront the deceptively harmless looking woman who has been living it up after stealing Sandy's identity.,5.7,35,131706,134.51,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Wanted,2008,R,110,"Action, Crime, Thriller","A frustrated office worker discovers that he is the son of a professional assassin, and that he shares his father's superhuman killing abilities.",6.7,64,380988,134.51,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Superman,1978,PG,143,"Action, Adventure, Sci-Fi","An alien orphan is sent from his dying planet to Earth, where he grows up to become his adoptive home's first and greatest superhero.",7.4,81,170895,134.22,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
The Rock,1996,R,136,"Action, Adventure, Thriller","A mild-mannered chemist and an ex-con must lead the counterstrike when a rogue group of military men, led by a renegade general, threaten a nerve gas attack from Alcatraz against San Francisco.",7.4,58,330558,134.07,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Mission: Impossible III,2006,PG-13,126,"Action, Adventure, Thriller",IMF agent Ethan Hunt comes into conflict with a dangerous and sadistic arms dealer who threatens his life and his fiancée in response.,6.9,66,347669,134.03,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Grown Ups 2,2013,PG-13,101,Comedy,"After moving his family back to his hometown to be with his friends and their kids, Lenny finds out that between old bullies, new bullies, schizo bus drivers, drunk cops on skis, and four hundred costumed party crashers sometimes crazy follows you.",5.3,19,150332,133.67,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Troy,2004,R,163,"Drama, History","An adaptation of Homer's great epic, the film follows the assault on Troy by the united Greek forces and chronicles the fates of the men involved.",7.3,56,519802,133.38,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
Angels & Demons,2009,PG-13,138,"Action, Mystery, Thriller",Harvard symbologist Robert Langdon works with a nuclear physicist to solve a murder and prevent a terrorist act against the Vatican during one of the significant events within the church.,6.7,48,287828,133.38,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0
Alvin and the Chipmunks: Chipwrecked,2011,G,87,"Animation, Adventure, Comedy","Playing around while aboard a cruise ship, the Chipmunks and Chipettes accidentally go overboard and end up marooned in a tropical paradise. They discover their new turf is not as deserted as it seems.",4.3,24,34539,133.11,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bringing Down the House,2003,PG-13,105,Comedy,"When a lonely guy meets a woman on the internet who happens to be in prison, she breaks out to get him to prove her innocence, and proceeds to wreak havoc on his middle-class life.",5.6,39,36749,132.72,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
The Wolverine,2013,PG-13,126,"Action, Sci-Fi","Wolverine comes to Japan to meet an old friend whose life he saved years ago, and gets embroiled in a conspiracy involving yakuza and mutants.",6.7,61,454167,132.56,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Wonder,2017,PG,113,"Drama, Family","Based on the New York Times bestseller, this movie tells the incredibly inspiring and heartwarming story of August Pullman, a boy with facial differences who enters the fifth grade, attending a mainstream elementary school for the first time.",7.9,66,158828,132.42,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
The Departed,2006,R,151,"Crime, Drama, Thriller",An undercover cop and a mole in the police attempt to identify each other while infiltrating an Irish gang in South Boston.,8.5,85,1276683,132.38,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0
Hulk,2003,PG-13,138,"Action, Sci-Fi","Bruce Banner, a genetics researcher with a tragic past, suffers an accident that causes him to transform into a raging green monster when he gets angry.",5.6,54,263470,132.18,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Silver Linings Playbook,2012,R,122,"Comedy, Drama, Romance","After a stint in a mental institution, former teacher Pat Solitano moves back in with his parents and tries to reconcile with his ex-wife. Things get more challenging when Pat meets Tiffany, a mysterious girl with problems of her own.",7.7,81,695240,132.09,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
Close Encounters of the Third Kind,1977,PG,138,"Drama, Sci-Fi","Roy Neary, an Indiana electric lineman, finds his quiet and ordinary daily life turned upside down after a close encounter with a UFO, spurring him to an obsessed cross-country quest for answers as a momentous event approaches.",7.6,90,197006,132.09,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
Minority Report,2002,PG-13,145,"Action, Crime, Mystery","In a future where a special police unit is able to arrest murderers before they commit their crimes, an officer from that unit is himself accused of a future murder.",7.7,80,537452,132.07,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Fantastic Four: Rise of the Silver Surfer,2007,PG,92,"Action, Adventure, Fantasy",The Fantastic Four learn that they aren't the only super-powered beings in the universe when they square off against the powerful Silver Surfer and the planet-eating Galactus.,5.6,45,261112,131.92,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
The Last Airbender,2010,PG,103,"Action, Adventure, Family","Follows the adventures of Aang, a young successor to a long line of Avatars, who must master all four elements and stop the Fire Nation from enslaving the Water Tribes and the Earth Kingdom.",4.0,20,161034,131.56,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Rio 2,2014,G,101,"Animation, Adventure, Comedy","It's a jungle out there for Blu, Jewel, and their three kids after they're hurtled from Rio de Janeiro to the wilds of the Amazon. As Blu tries to fit in, he goes beak-to-beak with the vengeful Nigel and meets his father-in-law.",6.3,49,87831,131.54,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lara Croft: Tomb Raider,2001,PG-13,100,"Action, Adventure, Fantasy",Video game adventurer Lara Croft comes to life in a movie where she races against time and villains to recover powerful ancient artifacts.,5.7,33,206845,131.14,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
The Silence of the Lambs,1991,R,118,"Crime, Drama, Thriller","A young F.B.I. cadet must receive the help of an incarcerated and manipulative cannibal killer to help catch another serial killer, a madman who skins his victims.",8.6,85,1374842,130.74,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0
"Honey, I Shrunk the Kids",1989,PG,93,"Adventure, Comedy, Family",The scientist father of a teenage girl and boy accidentally shrinks his and two other neighborhood teens to the size of insects. Now the teens must fight diminutive dangers as the father searches for them.,6.4,63,151592,130.72,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
The Flintstones,1994,PG,91,"Comedy, Family, Fantasy","In a parallel modern-day Stone Age world, a working-class family, the Flintstones, are set up for an executive job. But they learn that money can't buy happiness.",5.0,38,80295,130.51,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
Lethal Weapon 4,1998,R,127,"Action, Crime, Thriller","With personal crises and age weighing in on them, LAPD officers Riggs and Murtaugh must contend with deadly Chinese triads that are trying to free their former leaders out of prison and onto American soil.",6.6,37,160754,130.44,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Get Smart,2008,PG-13,110,"Action, Adventure, Comedy","Maxwell Smart, a highly intellectual but bumbling spy working for the CONTROL agency, is tasked with preventing a terrorist attack from rival spy agency KAOS.",6.5,54,214432,130.32,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
The Peanuts Movie,2015,G,88,"Animation, Adventure, Comedy","Snoopy embarks upon his greatest mission as he and his team take to the skies to pursue their archnemesis, while his best pal Charlie Brown begins his own epic quest back home to win the love of his life.",7.0,67,45158,130.18,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
The Divergent Series: Insurgent,2015,PG-13,119,"Action, Adventure, Sci-Fi",Beatrice Prior must confront her inner demons and continue her fight against a powerful alliance which threatens to tear her society apart with the help from others on her side.,6.2,42,232018,130.18,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Transformers: The Last Knight,2017,PG-13,154,"Action, Adventure, Sci-Fi","A deadly threat from Earth's history reappears and a hunt for a lost artifact takes place between Autobots and Decepticons, while Optimus Prime encounters his creator in space.",5.2,27,147100,130.17,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
American Gangster,2007,R,157,"Biography, Crime, Drama","An outcast New York City cop is charged with bringing down Harlem drug lord Frank Lucas, whose real life inspired this partly biographical film.",7.8,76,416716,130.16,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
American Beauty,1999,R,122,Drama,A sexually frustrated suburban father has a mid-life crisis after becoming infatuated with his daughter's best friend.,8.4,84,1126433,130.1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
An Officer and a Gentleman,1982,R,124,"Drama, Romance","A young man must complete his work at a Navy Officer Candidate School to become an aviator, with the help of a tough Gunnery Sergeant and his new girlfriend.",7.0,75,55343,129.8,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
The Ring,2002,PG-13,115,"Horror, Mystery",A journalist must investigate a mysterious videotape which seems to cause the death of anyone one week to the day after they view it.,7.1,57,340192,129.13,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0
The Nutty Professor,1996,PG-13,95,"Comedy, Romance, Sci-Fi",Grossly overweight yet good-hearted professor Sherman Klump takes a special chemical that turns him into the slim but obnoxious Buddy Love.,5.7,62,115585,128.81,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
Borat: Cultural Learnings of America for Make Benefit Glorious Nation of Kazakhstan,2006,R,84,Comedy,"Kazakh TV talking head Borat is dispatched to the United States to report on the greatest country in the world. With a documentary crew in tow, Borat becomes more interested in locating and marrying Pamela Anderson.",7.4,89,398458,128.51,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ghostbusters: Answer the Call,2016,PG-13,117,"Action, Comedy, Fantasy","Following a ghost invasion of Manhattan, paranormal enthusiasts Erin Gilbert and Abby Yates, nuclear engineer Jillian Holtzmann, and subway worker Patty Tolan band together to stop the otherworldly threat.",6.9,60,225249,128.34,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Kingsman: The Secret Service,2014,R,129,"Action, Adventure, Comedy","A spy organisation recruits a promising street kid into the agency's training program, while a global threat emerges from a twisted tech genius.",7.7,60,646913,128.26,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Robots,2005,PG,91,"Animation, Adventure, Comedy","In a robot world, a young idealistic inventor travels to the big city to join his inspiration's company, only to find himself opposing its sinister new management.",6.4,64,142956,128.2,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Coming to America,1988,R,117,"Comedy, Romance","An extremely pampered African prince travels to Queens, New York, and goes undercover to find a wife that he can respect for her intelligence and strong will.",7.1,47,203627,128.15,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"Crouching Tiger, Hidden Dragon",2000,PG-13,120,"Action, Adventure, Drama",A young Chinese warrior steals a sword from a famed swordsman and then escapes into a world of romantic adventure with a mysterious man in the frontier of the nation.,7.9,94,264524,128.08,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Shutter Island,2010,R,138,"Mystery, Thriller","In 1954, a U.S. Marshal investigates the disappearance of a murderer who escaped from a hospital for the criminally insane.",8.2,63,1245735,128.01,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0
Into the Woods,2014,PG,125,"Adventure, Comedy, Drama",A witch tasks a childless baker and his wife with procuring magical items from classic fairy tales to reverse the curse put on their family tree.,5.9,69,139060,128.0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Rocky IV,1985,PG,91,"Drama, Sport","Rocky Balboa proudly holds the world heavyweight boxing championship, but a new challenger has stepped forward: Drago, a six-foot-four, 261-pound fighter who has the backing of the Soviet Union.",6.8,40,200163,127.87,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
Enchanted,2007,PG,107,"Animation, Adventure, Comedy","A young maiden in a land called Andalasia, who is prepared to be wed, is sent away to New York City by an evil Queen, where she falls in love with a lawyer.",7.1,75,193743,127.81,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
The Curious Case of Benjamin Button,2008,PG-13,166,"Drama, Fantasy, Romance","Tells the story of Benjamin Button, a man who starts aging backwards with consequences.",7.8,70,631006,127.51,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0
Central Intelligence,2016,PG-13,107,"Action, Comedy, Crime","After he reconnects with an awkward pal from high school through Facebook, a mild-mannered accountant is lured into the world of international espionage.",6.3,52,181744,127.44,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Anchorman 2: The Legend Continues,2013,PG-13,119,Comedy,"With the 1970s behind them, San Diego's top-rated newsman, Ron Burgundy, returns to take New York City's first twenty-four-hour news channel by storm.",6.3,61,178154,127.35,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
